  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
     34_23                  34                  23                   0                   0                   0                   0                 200                  20
     34_23                  34                  23                   0                   0                   0                   0                 400                  40
     34_23                  34                  23                   0                   0                   0                   0                 600                  60
     34_23                  34                  23                   0                   0                   0                   0                 800                  80
     34_23                  34                  23                   0                   0                   0                   0                1000                 100
     34_23                  34                  23                   0                   0                   0                   0                1200                 120
     34_23                  34                  23                   0                   0                   0                   0                1400                 140
     34_23                  34                  23                   0                   0                   0                   0                1600                 160
     34_23                  34                  23                   0                   0                   0                   0                1800                 180
     34_23                  34                  23                   0                   0                   0                   0                2000                 200
     34_23                  34                  23                   0                   0                   0                   0                2200                 220
     34_23                  34                  23                   0                   0                   0                   0                2400                 240
     34_23                  34                  23                   0                   0                   0                   0                2600                 260
     34_23                  34                  23                   0                   0                   0                   0                2800                 280
     34_23                  34                  23                   0                   0                   0                   0                3000                 300
     34_23                  34                  23                   0                   0                   0                   0                3200                 320
     34_23                  34                  23                   0                   0                   0                   0                3400                 340
     34_23                  34                  23                   0                   0                   0                   0                3600                 360
     34_23                  34                  23                   0                   0                   0                   0                3800                 380
     34_23                  34                  23                   0                   0                   0                   0                4000                 400
     34_23                  34                  23                   0                   0                   0                   0                4200                 420
     34_23                  34                  23                   0                   0                   0                   0                4400                 440
     34_23                  34                  23                   0                   0                   0                   0                4600                 460
     34_23                  34                  23                   0                   0                   0                   0                4800                 480
     34_23                  34                  23                   0                   0                   0                   0                5000                 500
     34_23                  34                  23                   0                   0                   0                   0                5200                 520
     34_23                  34                  23                   0                   0                   0                   0                5400                 540
     34_23                  34                  23                   0                   0                   0                   0                5600                 560
     34_23                  34                  23                   0                   0                   0                   0                5800                 580
     34_23                  34                  23                   0                   0                   0                   0                6000                 600
     34_23                  34                  23                   0                   0                   0                   0                6200                 620
     34_23                  34                  23                   0                   0                   0                   0                6400                 640
     34_23             33.7492             22.9982             89.6605                   1             22.1593             22.2313                6600                 660
     34_23             33.5022             22.9973             90.2245                   0                   0                   0                6800                 680
     34_23             33.5022             22.9973             90.2245                   0                   0                   0                7000                 700
