  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
      30_0                  30                   0                   0                   0                   0                   0                 200                  20
      30_0                  30                   0                   0                   0                   0                   0                 400                  40
      30_0                  30                   0                   0                   0                   0                   0                 600                  60
      30_0             28.9979            0.904874             179.817                  22              15.624             15.7098                 800                  80
      30_0              24.994             1.98033             179.835                  18             45.3044             45.3786                1000                 100
      30_0             20.0017             3.00179             175.556                  15            -2.31047             2.31047                1200                 120
      30_0              18.993             5.49896             179.835                  10             56.1565             56.1894                1400                 140
      30_0                  19             21.0044             114.746                   9             13.8052            -13.8052                1600                 160
      30_0             16.6374             22.0029             90.3644                   4             29.1189             29.0847                1800                 180
      30_0            0.412622             22.0004             89.9432                   4             33.2272             33.2272                2000                 200
      30_0         -0.00241992             33.6177             180.097                   2             54.5735              54.574                2200                 220
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                2400                 240
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                2600                 260
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                2800                 280
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                3000                 300
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                3200                 320
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                3400                 340
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                3600                 360
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                3800                 380
      30_0        -3.88354e-05             34.9949             180.104                   1            -35.2627           0.0348027                4000                 400
