#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.041942,1, 7,12,7613,49490,37429,0,612.622,474.535,0,0.000133,0,0,0.0386341,0.041131,0,0.0107837,0.0119923,BAS,./data/den312d/den312d.map
20,0.161954,1, 18,34,14768,165171,143813,0,1188.57,880.141,0,0.000829,0,0,0.152189,0.160523,0,0.0231539,0.0579086,BAS,./data/den312d/den312d.map
30,0.185984,1, 39,76,25386,190488,146229,0,1894.32,1385.61,0,0.003375,0,0,0.162716,0.182737,0,0.0427264,0.0526626,BAS,./data/den312d/den312d.map
40,0.232139,1, 58,113,38174,237203,165056,0,2431.7,1787.41,0,0.00611,0,0,0.193564,0.2287,0,0.0619393,0.0583352,BAS,./data/den312d/den312d.map
50,0.562711,1, 62,119,54167,560413,471466,0,2909.53,2149.02,0,0.00717,0,0,0.50269,0.556748,0,0.112803,0.167722,BAS,./data/den312d/den312d.map
60,1.34117,1, 82,157,163030,1404685,1138248,0,3799.04,2614.28,0,0.012747,0,0,1.19752,1.33405,0,0.299065,0.392796,BAS,./data/den312d/den312d.map
70,4.29697,1, 90,178,330298,4439826,3955920,0,5117.19,3113.75,0,0.014165,0,0,4.04752,4.28728,0,0.656521,1.49098,BAS,./data/den312d/den312d.map
80,2.79577,1, 107,212,283840,2849483,2382306,0,5692.16,3625.8,0,0.017567,0,0,2.50753,2.78737,0,0.623496,0.828559,BAS,./data/den312d/den312d.map
90,10.2122,1, 122,241,730150,10225086,9132836,0,6706.5,4103.33,0,0.025324,0,0,9.54393,10.2027,0,1.81371,3.36364,BAS,./data/den312d/den312d.map
100,15.872,1, 133,262,1025194,15966183,14441778,0,7464.48,4533.32,0,0.04269,0,0,14.8337,15.8528,0,2.64067,5.3208,BAS,./data/den312d/den312d.map
110,38.0832,1, 154,298,1867683,36916605,34488623,0,9414.12,5058,0,0.040749,0,0,36.6757,38.0609,0,4.99913,13.9512,BAS,./data/den312d/den312d.map
120,52.1276,1, 151,296,2126915,49951959,47209757,0,10371.3,5552.61,0,0.047752,0,0,50.364,52.1068,0,6.41917,19.4367,BAS,./data/den312d/den312d.map
130,44.2402,1, 181,351,1956968,41834313,39281376,0,11697.5,5980.87,0,0.045594,0,0,42.4024,44.2223,0,5.96814,15.9061,BAS,./data/den312d/den312d.map
140,29.3217,1, 181,357,1486637,27560747,25655552,0,13581,6560.16,0,0.047412,0,0,27.8066,29.2967,0,4.08102,10.1605,BAS,./data/den312d/den312d.map
150,113.41,1, 217,426,4130276,98592335,93454822,0,14304.2,7123.21,0,0.084125,0,0,109.341,113.375,0,13.9935,39.86,BAS,./data/den312d/den312d.map
160,303.209,0, 256,455,0,0,244519951,0,-2,7550.35,0,0.215696,0,0,288.761,303.181,0,41.8907,100.964,BAS,./data/den312d/den312d.map
170,316.472,0, 255,468,0,0,244761814,0,-2,8051.67,0,0.173041,0,0,302.291,316.441,0,41.8855,107.059,BAS,./data/den312d/den312d.map
180,300.396,0, 326,539,0,0,247035825,0,-2,8460.37,0,0.185367,0,0,280.61,300.356,0,49.3477,95.8286,BAS,./data/den312d/den312d.map
190,300.4,0, 286,511,0,0,232601359,0,-2,8955.1,0,0.20523,0,0,284.137,300.359,0,43.5785,94.7763,BAS,./data/den312d/den312d.map
