#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.01003,1, 5,8,340,882,152,0,258.921,229.462,0,0.000106,0,0,0.00627887,0.00606,0,0.00477413,0.000496451,BAS,./data/empty-32-32/empty-32-32.map
20,0.010808,1, 14,26,731,2094,425,0,503.27,454.446,0,0.000416,0,0,0.00936578,0.00868,0,0.00693589,0.00185044,BAS,./data/empty-32-32/empty-32-32.map
30,0.018892,1, 23,44,1078,3212,729,0,732.579,640.394,0,0.000854,0,0,0.00915985,0.015813,0,0.00727875,0.000917894,BAS,./data/empty-32-32/empty-32-32.map
40,0.028914,1, 39,75,2849,9900,3476,0,988.321,827.063,0,0.001416,0,0,0.0150639,0.025962,0,0.0107176,0.00241428,BAS,./data/empty-32-32/empty-32-32.map
50,0.12615,1, 50,98,5005,22858,12116,0,1319.41,1029.14,0,0.003298,0,0,0.0819684,0.118441,0,0.0539961,0.0143129,BAS,./data/empty-32-32/empty-32-32.map
60,0.074517,1, 71,138,3953,14759,5870,0,1557.95,1261.65,0,0.00428,0,0,0.0294638,0.069638,0,0.0220316,0.00401834,BAS,./data/empty-32-32/empty-32-32.map
70,0.103007,1, 83,163,6951,32299,17205,0,1911.25,1488.04,0,0.004528,0,0,0.0479291,0.098596,0,0.0316887,0.00814078,BAS,./data/empty-32-32/empty-32-32.map
80,0.309623,1, 108,210,18212,99235,60051,0,2435.42,1722.62,0,0.008665,0,0,0.186674,0.301538,0,0.114097,0.0342782,BAS,./data/empty-32-32/empty-32-32.map
90,0.421328,1, 107,211,22157,152106,105003,0,2805.55,1961.56,0,0.007991,0,0,0.262954,0.412751,0,0.147517,0.0537256,BAS,./data/empty-32-32/empty-32-32.map
100,0.516723,1, 140,252,35522,215532,142168,0,3109.4,2193.82,0,0.012805,0,0,0.327908,0.50718,0,0.16483,0.0812606,BAS,./data/empty-32-32/empty-32-32.map
110,11.1524,1, 669,809,447676,3068663,2086393,0,3750.79,2430.16,0,0.142258,0,0,5.72977,11.0728,0,3.01918,1.26373,BAS,./data/empty-32-32/empty-32-32.map
120,300,0, 19517,19641,0,0,59817336,0,-2,2653.42,0,1.73505,0,0,148.422,298.169,0,75.1975,37.7802,BAS,./data/empty-32-32/empty-32-32.map
130,300.001,0, 86179,86303,0,0,83594654,0,-2,2873.07,0,1.35756,0,0,127.842,297.656,0,59.0306,33.3885,BAS,./data/empty-32-32/empty-32-32.map
140,29.0844,1, 779,937,1070264,7210009,5264190,0,5279,3130.1,0,0.311718,0,0,14.9326,29.0036,0,8.22687,3.15629,BAS,./data/empty-32-32/empty-32-32.map
