#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.001876,1, 1,0,73,233,37,0,329.469,329.469,0,0,0,0,0.000673021,0,0,0.000552375,3.7528e-05,BAS,./data/random-64-64-10/random-64-64-10.map
20,0.010819,1, 8,14,353,1228,291,0,815.773,783.799,0,0.000441,0,0,0.00373185,0.005973,0,0.0025897,0.00042979,BAS,./data/random-64-64-10/random-64-64-10.map
30,0.012507,1, 19,36,996,3813,1144,0,1226.81,1134.46,0,0.001636,0,0,0.00451044,0.009693,0,0.00283284,0.000787056,BAS,./data/random-64-64-10/random-64-64-10.map
40,0.034132,1, 33,64,4332,16596,7530,0,1846.92,1632.44,0,0.004557,0,0,0.0178815,0.030712,0,0.00891405,0.00408112,BAS,./data/random-64-64-10/random-64-64-10.map
50,0.088788,1, 45,88,4888,20473,9729,0,2434.6,2143.14,0,0.006758,0,0,0.0415319,0.080342,0,0.0238666,0.00921207,BAS,./data/random-64-64-10/random-64-64-10.map
60,0.17472,1, 62,122,14245,71819,45143,0,3056.18,2609.28,0,0.009003,0,0,0.102137,0.164947,0,0.0503363,0.0264107,BAS,./data/random-64-64-10/random-64-64-10.map
70,0.227198,1, 81,160,15489,79598,48564,0,3580.26,3040.24,0,0.017241,0,0,0.114617,0.217844,0,0.0528016,0.0287948,BAS,./data/random-64-64-10/random-64-64-10.map
80,0.432238,1, 90,178,34953,195800,134708,0,4234.91,3484.52,0,0.020674,0,0,0.284837,0.421144,0,0.102496,0.0751236,BAS,./data/random-64-64-10/random-64-64-10.map
90,1.1255,1, 97,192,37175,240999,173605,0,4798,3928.21,0,0.024099,0,0,0.762576,1.10765,0,0.338803,0.160583,BAS,./data/random-64-64-10/random-64-64-10.map
100,1.60166,1, 108,214,47689,284222,195074,0,5432.34,4332.5,0,0.039674,0,0,0.926573,1.57232,0,0.457294,0.159101,BAS,./data/random-64-64-10/random-64-64-10.map
110,2.41777,1, 133,264,62127,429058,317107,0,5943.4,4784.76,0,0.05425,0,0,1.46727,2.37687,0,0.588653,0.249167,BAS,./data/random-64-64-10/random-64-64-10.map
120,1.00932,1, 138,274,54074,388824,288539,0,6726.4,5115.91,0,0.036017,0,0,0.615916,0.987608,0,0.242774,0.135116,BAS,./data/random-64-64-10/random-64-64-10.map
130,1.62446,1, 151,300,55367,367726,263865,0,7083.71,5567.06,0,0.047897,0,0,0.882276,1.59702,0,0.4041,0.153783,BAS,./data/random-64-64-10/random-64-64-10.map
140,1.48338,1, 188,367,131359,1012790,783684,0,7984.39,5946.93,0,0.045671,0,0,1.0758,1.4648,0,0.319798,0.322384,BAS,./data/random-64-64-10/random-64-64-10.map
150,5.26062,1, 185,364,128912,986556,763461,0,8620.66,6376.6,0,0.092387,0,0,2.96971,5.21896,0,1.07936,0.529165,BAS,./data/random-64-64-10/random-64-64-10.map
160,4.99814,1, 211,412,154321,1136627,864262,0,9279.08,6796.75,0,0.082346,0,0,3.04051,4.95055,0,1.22264,0.500965,BAS,./data/random-64-64-10/random-64-64-10.map
170,3.74231,1, 198,390,151175,1096922,825693,0,10197.9,7221.37,0,0.074149,0,0,2.05637,3.68622,0,0.894527,0.441847,BAS,./data/random-64-64-10/random-64-64-10.map
180,4.61606,1, 208,412,156932,1256957,992376,0,10873.3,7700.17,0,0.074135,0,0,2.85122,4.56603,0,0.949733,0.499153,BAS,./data/random-64-64-10/random-64-64-10.map
190,11.3364,1, 231,458,232414,1848206,1452670,0,11628,8137.88,0,0.135447,0,0,6.8675,11.2609,0,2.56769,1.09551,BAS,./data/random-64-64-10/random-64-64-10.map
200,10.178,1, 255,495,273325,2222361,1720709,0,12301.4,8607.57,0,0.1696,0,0,5.44438,10.0892,0,2.19408,1.08989,BAS,./data/random-64-64-10/random-64-64-10.map
210,19.1811,1, 281,546,309548,2563362,2045809,0,13014.2,8927.84,0,0.236649,0,0,11.1987,19.0402,0,3.99376,1.70095,BAS,./data/random-64-64-10/random-64-64-10.map
220,52.5203,1, 515,798,3462881,27913976,21762918,0,13918,9379.27,0,0.883593,0,0,32.8583,52.4225,0,12.035,8.42769,BAS,./data/random-64-64-10/random-64-64-10.map
230,16.0726,1, 297,578,430956,3582840,2841723,0,14590.4,9779.84,0,0.204892,0,0,9.13994,15.9484,0,3.51415,1.62792,BAS,./data/random-64-64-10/random-64-64-10.map
240,35.9914,1, 311,598,630548,5162312,4080935,0,15303.7,10184.2,0,0.392379,0,0,19.7674,35.8587,0,7.88181,3.25025,BAS,./data/random-64-64-10/random-64-64-10.map
250,300.1,0, 1441,1747,0,0,50530374,0,-2,10686.9,0,3.16395,0,0,148.577,299.75,0,75.2297,27.4023,BAS,./data/random-64-64-10/random-64-64-10.map
260,74.9154,1, 409,738,1246613,9642645,7554358,0,17247.3,11102.6,0,0.572417,0,0,40.9132,74.749,0,17.2815,6.48204,BAS,./data/random-64-64-10/random-64-64-10.map
270,300.955,0, 1472,1801,0,0,55808827,0,-2,11569.6,0,1.70502,0,0,171.001,300.548,0,72.2279,33.0778,BAS,./data/random-64-64-10/random-64-64-10.map
280,300.35,0, 662,1024,0,0,50679235,0,-2,12006.3,0,2.50923,0,0,169.188,300.099,0,72.4402,30.6844,BAS,./data/random-64-64-10/random-64-64-10.map
