#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.001711,1, 4,6,161,522,90,0,496.924,491.431,0,8.5e-05,0,0,0.000854714,0.000489,0,0.000707168,6.1759e-05,BAS,./data/room-64-64-16/room-64-64-16.map
20,0.414997,1, 16,30,14341,122929,102235,0,1330.18,1145.07,0,0.001879,0,0,0.354934,0.410428,0,0.0679884,0.0543908,BAS,./data/room-64-64-16/room-64-64-16.map
30,300.064,0, 1590,1601,0,0,137463114,0,-2,1989.15,0,0.48687,0,0,254.283,300.025,0,50.5255,63.0369,BAS,./data/room-64-64-16/room-64-64-16.map
40,10.225,1, 53,97,287589,2964612,2599221,0,3993.49,2777.81,0,0.01949,0,0,8.44066,10.2135,0,1.59795,1.31073,BAS,./data/room-64-64-16/room-64-64-16.map
50,14.5715,1, 47,91,168944,2071959,1852894,0,4484.69,3277.15,0,0.018207,0,0,12.6094,14.5496,0,2.31658,1.95729,BAS,./data/room-64-64-16/room-64-64-16.map
60,300.791,0, 675,719,0,0,87609527,0,-2,3716.62,0,0.087089,0,0,265.552,300.749,0,43.8809,45.1292,BAS,./data/room-64-64-16/room-64-64-16.map
70,78.2933,1, 179,255,3020259,44878891,41095785,0,6034.2,4227.65,0,0.130923,0,0,69.494,78.273,0,12.2125,14.8116,BAS,./data/room-64-64-16/room-64-64-16.map
80,300.482,0, 701,773,0,0,99422296,0,-2,5044.83,0,0.744947,0,0,251.756,300.43,0,54.3063,47.8146,BAS,./data/room-64-64-16/room-64-64-16.map
90,140.246,1, 204,313,3310403,56612539,52586648,0,9439.85,5625.56,0,0.127571,0,0,124.251,140.209,0,22.6205,24.1128,BAS,./data/room-64-64-16/room-64-64-16.map
100,300.78,0, 464,557,0,0,109196727,0,-2,6426.07,0,0.182665,0,0,269.453,300.718,0,51.5203,46.9454,BAS,./data/room-64-64-16/room-64-64-16.map
110,300.381,0, 598,698,0,0,80235491,0,-2,6989.87,0,0.263792,0,0,258.305,300.305,0,51.4578,38.6457,BAS,./data/room-64-64-16/room-64-64-16.map
120,300.212,0, 468,575,0,0,128831267,0,-2,7607.76,0,0.234446,0,0,268.179,300.143,0,53.7166,52.9771,BAS,./data/room-64-64-16/room-64-64-16.map
130,300.296,0, 307,444,0,0,103035748,0,-2,8383.31,0,0.293971,0,0,261.495,300.231,0,55.8588,50.2334,BAS,./data/room-64-64-16/room-64-64-16.map
140,309.382,0, 259,400,0,0,81681937,0,-2,9176.93,0,0.287759,0,0,267.277,309.318,0,58.217,44.0493,BAS,./data/room-64-64-16/room-64-64-16.map
150,300.159,0, 438,544,0,0,96141575,0,-2,9779.25,0,0.216853,0,0,266.738,300.071,0,51.8691,43.8013,BAS,./data/room-64-64-16/room-64-64-16.map
160,302.119,0, 263,412,0,0,72076055,0,-2,10379.7,0,0.266531,0,0,264.563,302.047,0,53.7264,41.7806,BAS,./data/room-64-64-16/room-64-64-16.map
