#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.008868,1, 2,2,360,876,365,0,530.484,535.084,0,0.000109,0,0,0.00436954,0.003781,0,0.00285093,0.000843932,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
20,0.091822,1, 11,20,1810,4828,1863,0,1259,1143.74,0,0.003134,0,0,0.0431132,0.069727,0,0.0289464,0.00727973,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
30,0.133805,1, 18,34,8033,32604,20365,0,1968.53,1695.12,0,0.004524,0,0,0.0986288,0.126657,0,0.0544428,0.0177697,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
40,2.45635,1, 38,74,28422,189521,148304,0,2645.96,2288.6,0,0.018966,0,0,1.9376,2.43527,0,0.766798,0.202854,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
50,1.65474,1, 63,121,42204,304237,241546,0,3575.9,2929.05,0,0.042251,0,0,1.28436,1.62914,0,0.406097,0.215716,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
60,14.1962,1, 65,127,95242,1538454,1404050,0,4368.23,3491.28,0,0.058474,0,0,12.6013,14.1285,0,2.57703,1.63323,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
70,4.59215,1, 77,150,46140,385342,309852,0,5073.51,4172.85,0,0.067428,0,0,3.53971,4.55567,0,1.41796,0.407028,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
80,13.7468,1, 100,196,113371,1401034,1231182,0,6013.69,4804.56,0,0.102791,0,0,10.8684,13.687,0,2.84988,1.06849,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
90,29.5052,1, 109,212,233775,2968584,2617589,0,6789.87,5345.53,0,0.128264,0,0,21.5889,29.4556,0,7.69101,2.75393,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
100,12.8285,1, 113,221,97621,1084335,927934,0,7395.12,5867.04,0,0.139371,0,0,9.18073,12.7601,0,3.28122,0.907306,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
110,22.1314,1, 140,268,225125,3080981,2738833,0,8351.47,6379.45,0,0.152019,0,0,16.76,22.0749,0,5.06085,2.15045,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
120,305.032,0, 1516,1630,0,0,60258843,0,-2,6866.25,0,1.38855,0,0,238.415,304.764,0,57.2662,57.3344,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
130,92.1857,1, 183,353,649395,11690230,10745787,0,10148.3,7290.57,0,0.261951,0,0,73.5879,92.1262,0,18.2987,9.41875,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
140,300.505,0, 892,1054,0,0,36825533,0,-2,7782.66,0,0.491402,0,0,220.157,300.333,0,73.9265,29.3119,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
150,50.0861,1, 182,352,454103,7856343,7192505,0,11938.8,8248.76,0,0.187166,0,0,39.1847,49.9844,0,10.0884,4.85251,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
160,303.509,0, 227,432,0,0,44944037,0,-2,8835.02,0,0.422816,0,0,272.188,303.408,0,38.2978,42.816,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
170,262.982,1, 259,486,1118581,38679693,37068192,0,13802.3,9256.52,0,0.506557,0,0,225.888,262.784,0,46.0864,41.2443,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
180,300.027,0, 1405,1624,0,0,42410931,0,-2,9815.45,0,2.37175,0,0,192.777,299.689,0,68.3916,34.1772,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
190,301.535,0, 635,825,0,0,40256178,0,-2,10413,0,0.609988,0,0,219.114,301.353,0,80.123,29.4926,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
200,300.476,0, 976,1190,0,0,143406123,0,-2,10854.3,0,0.464609,0,0,277.001,300.339,0,39.8541,84.9509,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
