#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.004833,1, 6,10,1091,3901,1569,0,517.021,463.137,0,0.000105,0,0,0.00350449,0.004009,0,0.00177725,0.000815639,BAS,./data/den312d/den312d.map
20,0.047302,1, 22,42,8782,39036,21512,0,1162.21,965.176,0,0.001675,0,0,0.0362828,0.045098,0,0.015941,0.0090275,BAS,./data/den312d/den312d.map
30,0.04265,1, 28,53,7537,35702,20889,0,1564.45,1336.2,0,0.002491,0,0,0.0296501,0.039584,0,0.0125439,0.00741816,BAS,./data/den312d/den312d.map
40,0.203095,1, 41,79,26118,180111,130145,0,2389.19,1803.14,0,0.005192,0,0,0.16763,0.19888,0,0.0618265,0.0463267,BAS,./data/den312d/den312d.map
50,0.350502,1, 63,123,45965,370963,288542,0,3191.13,2323.68,0,0.006158,0,0,0.300382,0.346123,0,0.0896501,0.0919937,BAS,./data/den312d/den312d.map
60,0.634251,1, 71,139,85890,667935,516302,0,3968.01,2771.08,0,0.009328,0,0,0.549371,0.624947,0,0.163654,0.169209,BAS,./data/den312d/den312d.map
70,1.8054,1, 90,178,197506,1873808,1551899,0,4894.15,3244.9,0,0.014436,0,0,1.63077,1.79876,0,0.385162,0.540588,BAS,./data/den312d/den312d.map
80,10.1544,1, 107,206,645188,9997974,9032277,0,6287.62,3774.19,0,0.024057,0,0,9.58076,10.1454,0,1.569,3.52272,BAS,./data/den312d/den312d.map
90,7.45536,1, 128,252,506963,7288363,6505617,0,6851.52,4291.94,0,0.026947,0,0,6.89644,7.44403,0,1.3076,2.42272,BAS,./data/den312d/den312d.map
100,10.9944,1, 123,244,832530,11026466,9916040,0,8389.68,4722.72,0,0.027703,0,0,10.3168,10.9779,0,1.65734,3.66117,BAS,./data/den312d/den312d.map
110,30.168,1, 143,280,1485698,26791033,24834590,0,9307.33,5212.66,0,0.040828,0,0,28.8843,30.1494,0,3.79848,10.6531,BAS,./data/den312d/den312d.map
120,27.1958,1, 192,332,1712715,26505607,24306420,0,10849.8,5620.45,0,0.037693,0,0,25.6636,27.1779,0,3.97628,9.35821,BAS,./data/den312d/den312d.map
130,107.609,1, 218,384,5491984,98994053,91716241,0,11577.9,6037.78,0,0.121299,0,0,102.211,107.591,0,15.2432,37.2648,BAS,./data/den312d/den312d.map
140,68.0595,1, 190,367,4037488,65389838,60218093,0,12173.6,6384.8,0,0.081708,0,0,64.54,68.0388,0,9.91025,23.5516,BAS,./data/den312d/den312d.map
150,88.1671,1, 202,393,5246735,83266317,77215449,0,16966.3,6922.81,0,0.093442,0,0,83.7917,88.1415,0,12.4084,30.6888,BAS,./data/den312d/den312d.map
160,300.967,0, 553,746,0,0,255894165,0,-2,7372.99,0,0.48679,0,0,279.629,300.927,0,46.7152,96.4766,BAS,./data/den312d/den312d.map
170,303.753,0, 245,449,0,0,241054334,0,-2,7912.27,0,0.31954,0,0,284.324,303.723,0,46.1744,98.2864,BAS,./data/den312d/den312d.map
180,302.749,0, 278,490,0,0,246986586,0,-2,8500.61,0,0.358574,0,0,280.628,302.712,0,48.3307,96.0384,BAS,./data/den312d/den312d.map
190,301.903,0, 358,602,0,0,237493808,0,-2,8986.61,0,0.327834,0,0,285.558,301.858,0,42.4802,99.1721,BAS,./data/den312d/den312d.map
