#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.001127,1, 1,0,47,157,20,0,210.536,210.536,0,0,0,0,0.000608165,0,0,0.000497594,3.7557e-05,BAS,./data/empty-32-32/empty-32-32.map
20,0.006022,1, 10,18,265,888,188,0,438.01,429.481,0,0.000309,0,0,0.00379037,0.004107,0,0.002044,0.00145144,BAS,./data/empty-32-32/empty-32-32.map
30,0.013927,1, 25,47,1123,3736,1060,0,728.496,635.871,0,0.00078,0,0,0.00762387,0.011677,0,0.00604708,0.000849031,BAS,./data/empty-32-32/empty-32-32.map
40,0.106177,1, 37,70,4850,18404,8770,0,1040.9,847.634,0,0.002311,0,0,0.0926182,0.10176,0,0.0498866,0.025399,BAS,./data/empty-32-32/empty-32-32.map
50,0.075583,1, 59,115,4347,16619,7286,0,1342.87,1116.87,0,0.002958,0,0,0.0433798,0.06807,0,0.0265381,0.00801108,BAS,./data/empty-32-32/empty-32-32.map
60,0.166032,1, 70,138,5998,28231,15482,0,1735.79,1358.88,0,0.005809,0,0,0.0955305,0.158696,0,0.0650045,0.0148316,BAS,./data/empty-32-32/empty-32-32.map
70,0.132156,1, 93,180,8104,40135,22911,0,2076.44,1617.72,0,0.005125,0,0,0.0619503,0.127113,0,0.039682,0.0111197,BAS,./data/empty-32-32/empty-32-32.map
80,0.275497,1, 114,217,20447,117061,75492,0,2564.95,1832.38,0,0.009628,0,0,0.170948,0.267351,0,0.0958352,0.036809,BAS,./data/empty-32-32/empty-32-32.map
90,300.001,0, 71053,71137,0,0,40235318,0,-2,2044.68,0,1.48715,0,0,122.205,298.037,0,68.2921,30.2341,BAS,./data/empty-32-32/empty-32-32.map
100,300.004,0, 37917,38020,0,0,58922851,0,-2,2258.43,0,0.875069,0,0,147.357,298.183,0,68.8117,42.4435,BAS,./data/empty-32-32/empty-32-32.map
110,2.40704,1, 126,241,50869,421447,327383,0,3844.94,2466.38,0,0.017287,0,0,1.70299,2.38743,0,0.755482,0.353794,BAS,./data/empty-32-32/empty-32-32.map
120,0.751623,1, 154,289,67391,418712,295313,0,4079.2,2697.03,0,0.013922,0,0,0.465271,0.734671,0,0.227139,0.112813,BAS,./data/empty-32-32/empty-32-32.map
130,3.78278,1, 301,453,324555,2101838,1493077,0,4641.03,2918.03,0,0.067992,0,0,2.46222,3.75772,0,1.20337,0.619395,BAS,./data/empty-32-32/empty-32-32.map
140,300.011,0, 8081,8223,0,0,42700126,0,-2,3151.39,0,1.53535,0,0,147.205,298.782,0,75.8582,35.5921,BAS,./data/empty-32-32/empty-32-32.map
