#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.003196,1, 4,6,176,577,110,0,473.864,455.282,0,8.8e-05,0,0,0.00111771,0.001023,0,0.000899688,9.6325e-05,BAS,./data/random-64-64-10/random-64-64-10.map
20,0.004858,1, 9,16,425,1455,336,0,920.012,875.175,0,0.000373,0,0,0.00191492,0.002594,0,0.00153993,0.000161687,BAS,./data/random-64-64-10/random-64-64-10.map
30,0.006925,1, 11,20,783,2611,681,0,1229.11,1174.19,0,0.000903,0,0,0.0026397,0.004073,0,0.00180986,0.000385648,BAS,./data/random-64-64-10/random-64-64-10.map
40,0.025531,1, 27,52,1997,6778,2132,0,1750.56,1603.65,0,0.002973,0,0,0.00977218,0.021218,0,0.00680281,0.00144277,BAS,./data/random-64-64-10/random-64-64-10.map
50,0.071004,1, 41,80,3085,12835,5161,0,2381.29,2121.56,0,0.006548,0,0,0.0268133,0.060896,0,0.018213,0.00443725,BAS,./data/random-64-64-10/random-64-64-10.map
60,0.166214,1, 60,118,10269,47975,27248,0,3026.37,2572.89,0,0.010205,0,0,0.082186,0.154494,0,0.0433858,0.0203215,BAS,./data/random-64-64-10/random-64-64-10.map
70,0.604913,1, 70,138,40968,224545,159325,0,3509.28,2995.29,0,0.01583,0,0,0.421257,0.593876,0,0.153236,0.113886,BAS,./data/random-64-64-10/random-64-64-10.map
80,0.191111,1, 83,163,16189,80610,47839,0,4013.54,3404.46,0,0.017481,0,0,0.0972329,0.181064,0,0.039769,0.0239592,BAS,./data/random-64-64-10/random-64-64-10.map
90,0.93363,1, 105,206,25640,132605,83035,0,4586.78,3868.47,0,0.03287,0,0,0.440842,0.883055,0,0.23028,0.089042,BAS,./data/random-64-64-10/random-64-64-10.map
100,2.39855,1, 115,227,57788,403021,305313,0,5594.72,4429.59,0,0.035605,0,0,1.61828,2.35891,0,0.602201,0.29822,BAS,./data/random-64-64-10/random-64-64-10.map
110,300.006,0, 26093,26207,0,0,33228072,0,-2,4858.05,0,5.39283,0,0,118.981,298.762,0,56.1311,22.5758,BAS,./data/random-64-64-10/random-64-64-10.map
120,300,0, 13076,13226,0,0,45758735,0,-2,5270.8,0,3.72321,0,0,146.64,298.975,0,67.8042,28.1543,BAS,./data/random-64-64-10/random-64-64-10.map
130,4.75933,1, 167,323,131285,822611,590298,0,7497.76,5658.22,0,0.074869,0,0,2.91643,4.70914,0,1.17229,0.496682,BAS,./data/random-64-64-10/random-64-64-10.map
140,300.015,0, 13420,13562,0,0,34052527,0,-2,6086.74,0,3.73662,0,0,114.807,298.926,0,47.5512,29.3683,BAS,./data/random-64-64-10/random-64-64-10.map
150,300.204,0, 9537,9705,0,0,57954212,0,-2,6500.1,0,1.74364,0,0,187.329,299.421,0,61.5702,42.4455,BAS,./data/random-64-64-10/random-64-64-10.map
160,147.007,1, 2998,3181,3440893,27631915,21790055,0,9433.79,6915.93,0,0.970778,0,0,81.6502,146.594,0,30.1124,16.6092,BAS,./data/random-64-64-10/random-64-64-10.map
170,300.005,0, 4856,5053,0,0,56249512,0,-2,7398.25,0,1.25044,0,0,200.668,299.409,0,63.8379,32.6943,BAS,./data/random-64-64-10/random-64-64-10.map
180,300.11,0, 8737,8965,0,0,62567718,0,-2,7772.06,0,2.92666,0,0,152.401,299.172,0,70.7075,32.0374,BAS,./data/random-64-64-10/random-64-64-10.map
190,259.986,1, 3033,3288,6771306,50869081,38355800,0,12024.8,8221.61,0,3.9844,0,0,117.09,259.39,0,51.3112,23.7849,BAS,./data/random-64-64-10/random-64-64-10.map
200,12.4087,1, 475,758,558291,4109793,3123169,0,12648.8,8536.75,0,0.245986,0,0,6.47753,12.3169,0,2.60273,1.49736,BAS,./data/random-64-64-10/random-64-64-10.map
210,300.548,0, 2180,2450,0,0,54983812,0,-2,8928.43,0,4.44655,0,0,154.362,300.118,0,66.4839,32.2338,BAS,./data/random-64-64-10/random-64-64-10.map
220,300.347,0, 888,1170,0,0,52763836,0,-2,9339.57,0,3.27932,0,0,168.717,300.148,0,70.0208,31.9133,BAS,./data/random-64-64-10/random-64-64-10.map
230,300.038,0, 3315,3596,0,0,73892400,0,-2,9776.48,0,4.67213,0,0,161.069,299.407,0,64.0037,40.4862,BAS,./data/random-64-64-10/random-64-64-10.map
240,300.032,0, 4804,5058,0,0,46438437,0,-2,10160.8,0,2.22187,0,0,174.197,298.966,0,61.069,36.7305,BAS,./data/random-64-64-10/random-64-64-10.map
250,300.079,0, 10611,10875,0,0,58579415,0,-2,10596.8,0,2.53964,0,0,135.798,298.053,0,55.5964,28.2573,BAS,./data/random-64-64-10/random-64-64-10.map
260,300,0, 5674,5957,0,0,60603137,0,-2,11063.6,0,2.61254,0,0,142.397,298.839,0,63.0807,29.646,BAS,./data/random-64-64-10/random-64-64-10.map
270,37.3776,1, 405,765,1330888,10306069,8143147,0,17618.3,11385.7,0,0.384631,0,0,21.8053,37.2032,0,8.02873,4.46515,BAS,./data/random-64-64-10/random-64-64-10.map
280,300.973,0, 626,973,0,0,47586567,0,-2,11817.2,0,3.63454,0,0,154.323,300.676,0,67.2991,29.5465,BAS,./data/random-64-64-10/random-64-64-10.map
