#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.002558,1, 5,8,215,758,174,0,449.833,435.128,0,0.000102,0,0,0.001192,0.001114,0,0.000896608,0.000136685,BAS,./data/room-64-64-16/room-64-64-16.map
20,0.019631,1, 18,33,1784,6255,1946,0,1289.97,1208.28,0,0.001508,0,0,0.00960683,0.01584,0,0.00665431,0.00140942,BAS,./data/room-64-64-16/room-64-64-16.map
30,0.087922,1, 33,63,7068,32189,16287,0,2327.22,2023.11,0,0.003832,0,0,0.0479576,0.08177,0,0.0278487,0.00915257,BAS,./data/room-64-64-16/room-64-64-16.map
40,1.32597,1, 46,89,31923,302731,245582,0,3499.45,2861.98,0,0.008196,0,0,1.01141,1.31546,0,0.310866,0.136333,BAS,./data/room-64-64-16/room-64-64-16.map
50,9.58218,1, 59,115,172093,1689425,1432931,0,4596.83,3474.21,0,0.024002,0,0,7.66582,9.56649,0,1.80472,1.32019,BAS,./data/room-64-64-16/room-64-64-16.map
60,3.59579,1, 62,122,77421,737357,608341,0,5390.77,4032.38,0,0.023643,0,0,2.71778,3.57586,0,0.877986,0.490831,BAS,./data/room-64-64-16/room-64-64-16.map
70,20.1186,1, 104,198,717576,11777099,10730953,0,7225.55,4678.42,0,0.043116,0,0,17.1949,20.0982,0,3.81545,3.86259,BAS,./data/room-64-64-16/room-64-64-16.map
80,53.7396,1, 97,192,636914,10480449,9599994,0,9081.85,5464.21,0,0.05013,0,0,46.2777,53.7108,0,9.2273,6.4132,BAS,./data/room-64-64-16/room-64-64-16.map
90,33.4137,1, 106,210,729227,11733516,10662964,0,10158.2,6198.22,0,0.050874,0,0,28.4191,33.3796,0,5.90862,5.87206,BAS,./data/room-64-64-16/room-64-64-16.map
100,79.5534,1, 122,241,900646,20331533,19077943,0,12381.2,7016.76,0,0.082118,0,0,70.0443,79.5156,0,13.3224,11.333,BAS,./data/room-64-64-16/room-64-64-16.map
110,107.566,1, 152,291,1831430,46137559,43689896,0,14575.1,7798.48,0,0.097273,0,0,95.9823,107.528,0,18.3161,17.1327,BAS,./data/room-64-64-16/room-64-64-16.map
120,155.434,1, 190,359,2809456,66141467,62427590,0,15744.6,8340.38,0,0.146471,0,0,138.845,155.386,0,27.8723,26.3811,BAS,./data/room-64-64-16/room-64-64-16.map
130,243.949,1, 180,341,3485001,79569943,74962859,0,17884.8,9134.82,0,0.208008,0,0,216.394,243.892,0,40.8967,34.6719,BAS,./data/room-64-64-16/room-64-64-16.map
140,316.203,0, 210,402,0,0,89063425,0,-2,9705.7,0,0.249822,0,0,281.391,316.147,0,58.3187,44.5893,BAS,./data/room-64-64-16/room-64-64-16.map
150,281.155,1, 214,413,4455805,99058970,93559035,0,22139.3,10283.1,0,0.263002,0,0,251.208,281.061,0,50.6424,42.6947,BAS,./data/room-64-64-16/room-64-64-16.map
160,301.209,0, 211,414,0,0,74275366,0,-2,10956.9,0,0.232864,0,0,271.28,301.088,0,55.9447,43.1466,BAS,./data/room-64-64-16/room-64-64-16.map
