#agents, runtime,is solved,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,#low-level re-expanded,#low-level motion solver called,solution cost,root g value,#PBS-called,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,#low-level expand runtime,#low-level motion runtime,solver name,instance name
10,0.005444,1, 3,4,119,350,62,0,472.253,467.038,0,0.000135,0,0,0.0020453,0.001686,0,0.00165053,0.000259492,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
20,0.350028,1, 12,22,7254,30036,18936,0,1147.12,1030.64,0,0.002372,0,0,0.28723,0.334112,0,0.157491,0.0409457,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
30,0.463992,1, 22,42,13008,58903,39071,0,1844.09,1623.73,0,0.006907,0,0,0.339393,0.452083,0,0.197564,0.049002,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
40,0.799346,1, 32,62,15925,72899,48147,0,2530.85,2240.17,0,0.0207,0,0,0.533786,0.773203,0,0.318685,0.0725604,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
50,1.34172,1, 46,90,50870,312849,234735,0,3415.62,2874.5,0,0.025297,0,0,1.06381,1.32043,0,0.519195,0.192343,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
60,17.1859,1, 62,122,121671,1550295,1371981,0,4431.14,3472.2,0,0.052203,0,0,17.1193,17.143,0,4.39032,2.12352,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
70,21.8612,1, 93,181,143596,1982656,1768781,0,5292.53,4208.93,0,0.077793,0,0,17.6196,21.8244,0,4.63288,2.07571,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
80,20.7971,1, 96,190,136933,1810068,1608629,0,6109.83,4727.05,0,0.108056,0,0,16.6902,20.7473,0,4.25023,2.20371,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
90,29.3408,1, 104,204,152761,3151040,2933442,0,7077.67,5344.2,0,0.102202,0,0,25.411,29.2993,0,4.37737,2.88334,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
100,51.6499,1, 139,272,329164,8259808,7782665,0,7679.75,5787.35,0,0.13333,0,0,45.6504,51.5981,0,6.98662,6.17613,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
110,51.5576,1, 136,263,292273,7998227,7572708,0,8450.21,6301.45,0,0.12688,0,0,46.6121,51.5155,0,6.94851,5.71857,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
120,40.195,1, 143,281,271702,3954660,3561687,0,9037.77,6757.45,0,0.196686,0,0,32.0281,40.1127,0,7.01269,3.56329,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
130,36.9122,1, 164,318,292583,6018913,5567110,0,9941.13,7221.58,0,0.162857,0,0,29.2703,36.872,0,6.5284,4.57154,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
140,45.2344,1, 163,315,420418,6840135,6187253,0,10781.1,7778.02,0,0.204419,0,0,34.7419,45.1563,0,9.23286,5.04022,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
150,302.016,0, 436,609,0,0,55116673,0,-2,8253.88,0,1.14734,0,0,268.559,301.896,0,41.9435,41.1983,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
160,302.182,0, 1136,1303,0,0,51828616,0,-2,8775.1,0,0.690345,0,0,255.514,301.953,0,45.2165,48.6092,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
170,193.327,1, 223,429,954129,27995441,26557311,0,14219.7,9190.88,0,0.362314,0,0,165.256,193.251,0,30.5534,27.6278,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
180,313.447,0, 258,484,0,0,55583352,0,-2,9755.65,0,0.381817,0,0,281.914,313.345,0,39.1427,47.9531,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
190,142.321,1, 260,485,979102,25421579,24022045,0,15495,10370.4,0,0.381669,0,0,117.943,142.144,0,26.0827,16.6059,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
200,98.6134,1, 278,516,1473151,50386545,48215472,0,15977.2,10864.3,0,0.267208,0,0,91.0857,98.5331,0,13.2721,28.5026,BAS,./data/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1.map
